"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user me","LMS service","Wed Jul 15 08:38:28 UTC 2026","passed","Wed Jul 15 08:38:28 UTC 2026","Get entity","Users","",""
"","563","Create user","LMS service","Wed Jul 15 08:38:27 UTC 2026","passed","Wed Jul 15 08:38:28 UTC 2026","Create entity","Users","",""
"","34","Create file","LMS service","Wed Jul 15 08:38:24 UTC 2026","passed","Wed Jul 15 08:38:24 UTC 2026","Create entity","Files","",""
"","277","Get file with incorrect file id","LMS service","Wed Jul 15 08:38:27 UTC 2026","passed","Wed Jul 15 08:38:27 UTC 2026","Validate entity","Files","",""
"","18","Get exercises","LMS service","Wed Jul 15 08:38:24 UTC 2026","passed","Wed Jul 15 08:38:24 UTC 2026","Get entities","Exercises","",""
"","298","Get courses","LMS service","Wed Jul 15 08:38:20 UTC 2026","passed","Wed Jul 15 08:38:20 UTC 2026","Get entities","Courses","",""
"","21","Delete exercise","LMS service","Wed Jul 15 08:38:22 UTC 2026","passed","Wed Jul 15 08:38:22 UTC 2026","Delete entity","Exercises","",""
"","22","Update exercise","LMS service","Wed Jul 15 08:38:21 UTC 2026","passed","Wed Jul 15 08:38:21 UTC 2026","Update entity","Exercises","",""
"","270","Create file with empty filename","LMS service","Wed Jul 15 08:38:25 UTC 2026","passed","Wed Jul 15 08:38:25 UTC 2026","Validate entity","Files","",""
"","25","Create exercise","LMS service","Wed Jul 15 08:38:21 UTC 2026","passed","Wed Jul 15 08:38:21 UTC 2026","Create entity","Exercises","",""
"","15","Get file","LMS service","Wed Jul 15 08:38:25 UTC 2026","passed","Wed Jul 15 08:38:25 UTC 2026","Get entity","Files","",""
"","556","Login with correct email and password","LMS service","Wed Jul 15 08:38:18 UTC 2026","passed","Wed Jul 15 08:38:19 UTC 2026","Login","Authentication","",""
"","31","Create course","LMS service","Wed Jul 15 08:38:20 UTC 2026","passed","Wed Jul 15 08:38:20 UTC 2026","Create entity","Courses","",""
"","311","Update course","LMS service","Wed Jul 15 08:38:19 UTC 2026","passed","Wed Jul 15 08:38:19 UTC 2026","Update entity","Courses","",""
"","20","Get exercise","LMS service","Wed Jul 15 08:38:22 UTC 2026","passed","Wed Jul 15 08:38:22 UTC 2026","Get entity","Exercises","",""
"","26","Delete file","LMS service","Wed Jul 15 08:38:26 UTC 2026","passed","Wed Jul 15 08:38:26 UTC 2026","Delete entity","Files","",""
"","268","Create file with empty directory","LMS service","Wed Jul 15 08:38:26 UTC 2026","passed","Wed Jul 15 08:38:26 UTC 2026","Validate entity","Files","",""
"","521","Create user","LMS service","Wed Jul 15 08:38:26 UTC 2026","passed","Wed Jul 15 08:38:27 UTC 2026","Create entity","Users","",""
"","535","Create user","LMS service","Wed Jul 15 08:38:27 UTC 2026","passed","Wed Jul 15 08:38:27 UTC 2026","Create entity","Users","",""
