"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","test_get_exercises","tests.exercises","2026-07-02","passed","2026-07-02","TestExercises","test_exercises","",""
"","8","test_get_file_with_incorrect_file_id","tests.files","2026-07-02","passed","2026-07-02","TestFiles","test_files","",""
"","15","test_delete_exercise","tests.exercises","2026-07-02","passed","2026-07-02","TestExercises","test_exercises","",""
"","2226","test_create_user[example.com]","tests.users","2026-07-02","passed","2026-07-02","TestUsers","test_users","",""
"","24","test_update_exercise","tests.exercises","2026-07-02","passed","2026-07-02","TestExercises","test_exercises","",""
"","22","test_create_exercise","tests.exercises","2026-07-02","passed","2026-07-02","TestExercises","test_exercises","",""
"","2075","test_create_file_with_empty_directory","tests.files","2026-07-02","passed","2026-07-02","TestFiles","test_files","",""
"","2245","test_create_user[gmail.com]","tests.users","2026-07-02","passed","2026-07-02","TestUsers","test_users","",""
"","2051","test_get_user_me","tests.users","2026-07-02","passed","2026-07-02","TestUsers","test_users","",""
"","13","test_get_courses","tests.courses","2026-07-02","passed","2026-07-02","TestCourses","test_courses","",""
"","2067","test_create_file_with_empty_filename","tests.files","2026-07-02","passed","2026-07-02","TestFiles","test_files","",""
"","2238","test_login","tests.authentication","2026-07-02","passed","2026-07-02","TestAuthentication","test_authentication","",""
"","30","test_update_course","tests.courses","2026-07-02","passed","2026-07-02","TestCourses","test_courses","",""
"","8","test_get_file","tests.files","2026-07-02","passed","2026-07-02","TestFiles","test_files","",""
"","2264","test_create_user[mail.ru]","tests.users","2026-07-02","passed","2026-07-02","TestUsers","test_users","",""
"","10","test_get_exercise","tests.exercises","2026-07-02","passed","2026-07-02","TestExercises","test_exercises","",""
"","2072","test_create_file","tests.files","2026-07-02","passed","2026-07-02","TestFiles","test_files","",""
"","27","test_create_course","tests.courses","2026-07-02","passed","2026-07-02","TestCourses","test_courses","",""
"","18","test_delete_file","tests.files","2026-07-02","passed","2026-07-02","TestFiles","test_files","",""
